	1	5	10	20	30
311.44742	374.85596	87.1028	59.27987	153.68277	121.64888
335.07114	123.68566	73.80585	151.93041	127.12865	104.70689
358.69486	129.18296	88.56074	194.76333	90.13015	212.18615
382.31858	138.45448	51.059	28.26166	45.50529	30.21029
405.94229	84.24576	25.73569	34.40961	17.64623	13.4013
429.56601	77.69589	18.83614	18.36206	20.90192	17.87613
453.18972	74.46447	15.64333	17.48873	12.11366	17.9749
476.81344	71.48863	17.35986	20.19135	11.70631	17.08509
500.43716	70.15585	17.54047	20.74949	13.30319	18.21328
524.06091	67.40526	19.08844	21.29389	14.26673	20.74744
547.68462	65.80374	19.6154	21.15051	13.45665	19.94976
571.30835	63.16333	18.87607	20.98701	13.87849	18.56154
594.93208	61.42107	19.23142	20.88333	13.89331	18.44552
618.55579	62.88376	20.55473	20.73766	13.71096	18.62681
642.17951	62.31003	19.60094	20.31613	13.64364	18.38062
665.80322	62.63174	18.03275	19.16785	12.76697	16.36996
689.42694	62.75302	17.4936	18.06365	11.52065	16.65742
713.05066	61.84863	16.74409	17.27361	11.79684	15.25113
736.67438	61.33379	15.63815	16.21491	11.144	13.6265
760.29809	61.87091	14.58822	14.78848	10.05529	12.96575
783.92181	61.56226	13.98289	13.60275	9.43526	11.40684
807.54552	62.21168	12.69418	11.89678	8.71294	10.00993
831.16926	62.60057	10.79505	10.25039	7.14399	8.33142
854.79298	62.97139	9.53618	8.5949	6.18494	7.23507
878.41669	62.70686	7.74268	7.19357	5.09044	5.89739
902.04041	63.02267	5.77606	5.40965	3.82403	4.39834
925.66412	63.75785	4.24903	3.71797	2.61188	2.82939
949.28784	64.63401	3.00677	2.31625	1.54313	1.70258
972.91156	65.21887	2.54913	1.40535	0.9562	1.55434
996.53528	64.74802	1.13084	1.59764	1.06416	1.68097
1020.159	63.43906	0.58893	2.62681	1.35933	1.94737
1043.78274	60.81694	2.03478	2.49824	1.58268	2.33416
1067.40647	57.08608	3.38099	2.7116	2.01571	2.81838
1091.03019	56.24783	3.55405	3.0421	2.1447	2.89826
1114.65391	55.79176	3.16607	2.92083	2.01002	2.70282
1138.27762	56.59359	2.48996	2.44431	1.78064	2.27307
1161.90134	58.7406	1.91468	1.74379	1.3196	1.55817
1185.52506	61.33356	2.17992	1.09697	0.85572	1.03358
1209.14878	63.30961	4.05045	0.64073	0.69266	0.83571
1232.77249	64.3536	7.03794	1.08391	0.61023	0.74748
1256.39621	65.29769	11.07567	2.80903	0.63221	0.774
1280.01992	66.00535	15.50252	5.71109	0.65056	0.93864
1303.64364	66.24279	17.67378	6.39209	0.83057	1.15073
1327.26736	66.38132	18.38265	4.84307	1.71237	1.33557
1350.89108	66.51418	21.13381	4.83293	1.71026	1.82548
1374.51479	66.90887	28.03967	12.69351	1.94658	1.67585
1398.13852	66.32514	35.0156	28.31976	11.32234	6.64754
1421.76224	65.27324	39.00421	37.88998	13.62007	5.37887
1445.38596	65.12542	43.30586	39.54207	8.27463	10.11188
1469.00967	64.6787	46.9135	35.58644	14.06338	7.05171
1492.63339	64.11458	49.72287	28.20607	17.74202	8.20227
